,PostalCode,PostalCode Latitude,PostalCode Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
164,M5B,43.6571618,-79.37893709999999,Bourbon St. Grill,43.6551351410162,-79.3808225262395,Fast Food Restaurant
165,M5B,43.6571618,-79.37893709999999,Panera Bread,43.65710745327419,-79.38157439231873,Bakery
166,M5B,43.6571618,-79.37893709999999,Solei Tanning Salon,43.654734082347616,-79.38024826065258,Tanning Salon
167,M5B,43.6571618,-79.37893709999999,Kinton Ramen,43.660631695006714,-79.37887964897601,Ramen Restaurant
168,M5B,43.6571618,-79.37893709999999,Second Cup,43.65602745564191,-79.38057491935326,Coffee Shop
169,M5B,43.6571618,-79.37893709999999,SEPHORA,43.653688,-79.38012,Cosmetics Shop
170,M5B,43.6571618,-79.37893709999999,MUJI,43.656024,-79.383284,Miscellaneous Shop
171,M5B,43.6571618,-79.37893709999999,Indigo,43.65351471121164,-79.38069591056922,Bookstore
172,M5B,43.6571618,-79.37893709999999,CF Toronto Eaton Centre,43.65359376340117,-79.38061140153864,Shopping Mall
173,M5B,43.6571618,-79.37893709999999,The Elm Tree Restaurant,43.65739749535259,-79.38376054171513,Modern European Restaurant
174,M5B,43.6571618,-79.37893709999999,DAVIDsTEA,43.65506981949658,-79.38059022205873,Tea Room
175,M5B,43.6571618,-79.37893709999999,LUSH,43.653557,-79.3804,Cosmetics Shop
176,M5B,43.6571618,-79.37893709999999,Tim Hortons,43.656755,-79.380512,Coffee Shop
177,M5B,43.6571618,-79.37893709999999,Ryerson Athletics Centre,43.65843443942876,-79.37929610991361,College Rec Center
178,M5B,43.6571618,-79.37893709999999,Paramount Fine Foods,43.65502870847598,-79.38024513018975,Middle Eastern Restaurant
179,M5B,43.6571618,-79.37893709999999,Kabul Express,43.65669146835466,-79.37664313658586,Middle Eastern Restaurant
180,M5B,43.6571618,-79.37893709999999,Red Lobster,43.656328,-79.383621,Seafood Restaurant
181,M5B,43.6571618,-79.37893709999999,Jack Astor's Bar & Grill,43.65601939992059,-79.38032551379719,Restaurant
182,M5B,43.6571618,-79.37893709999999,Danish Pastry House,43.654574,-79.38074,Bakery
183,M5B,43.6571618,-79.37893709999999,Ethiopiques,43.65651274304155,-79.377077748846,Ethiopian Restaurant
184,M5B,43.6571618,-79.37893709999999,Trattoria Mercatto,43.65445314470199,-79.3809741075674,Italian Restaurant
185,M5B,43.6571618,-79.37893709999999,Duke's Refresher + Bar,43.65897985683036,-79.38294890507811,Bar
186,M5B,43.6571618,-79.37893709999999,Scaddabush Italian Kitchen & Bar,43.658920292028725,-79.38289105381784,Italian Restaurant
187,M5B,43.6571618,-79.37893709999999,Ali Baba's - Yonge north of Dundas,43.65791597172264,-79.38168923893144,Middle Eastern Restaurant
188,M5B,43.6571618,-79.37893709999999,Citrus Restaurant & Lounge @ The Grand Hotel,43.65627304573888,-79.37422062269164,Lounge
189,M5B,43.6571618,-79.37893709999999,Magic Tailor,43.65374158228865,-79.37974523881418,Clothing Store
190,M5B,43.6571618,-79.37893709999999,HomeSense,43.6531866401305,-79.3792368471621,Furniture / Home Store
191,M5B,43.6571618,-79.37893709999999,Tangerine Café,43.653936903308185,-79.37972202364307,Bank
192,M5B,43.6571618,-79.37893709999999,Nordstrom Ebar,43.654648676831954,-79.38057377013143,Coffee Shop
193,M5B,43.6571618,-79.37893709999999,Lake Devo,43.6569936860937,-79.37689788366988,Lake
194,M5B,43.6571618,-79.37893709999999,Booster Juice,43.65631796,-79.38276487,Juice Bar
195,M5B,43.6571618,-79.37893709999999,MAC,43.65405547492733,-79.38071368220903,Cosmetics Shop
196,M5B,43.6571618,-79.37893709999999,Hollister Co.,43.654479660102204,-79.38091371769396,Clothing Store
197,M5B,43.6571618,-79.37893709999999,Roots,43.65361341708363,-79.38024401664734,Clothing Store
198,M5B,43.6571618,-79.37893709999999,Bubble Republic Tea House 奶茶黨部,43.656707495984975,-79.38416470657434,Bubble Tea Shop
199,M5B,43.6571618,-79.37893709999999,Marshalls,43.659308,-79.3824621,Department Store
200,M5B,43.6571618,-79.37893709999999,Starbucks,43.65446528594945,-79.37891894388453,Coffee Shop
201,M5B,43.6571618,-79.37893709999999,Bath & Body Works,43.654216369093064,-79.38099524844415,Cosmetics Shop
202,M5B,43.6571618,-79.37893709999999,Starbucks,43.65596912045543,-79.38268426666406,Coffee Shop
203,M5B,43.6571618,-79.37893709999999,Imperial Pub,43.656254269765554,-79.37895528846455,Pub
204,M5B,43.6571618,-79.37893709999999,Chatime 日出茶太,43.65554164147378,-79.38468427043244,Bubble Tea Shop
205,M5B,43.6571618,-79.37893709999999,Panago,43.65825817735338,-79.38431282558368,Pizza Place
206,M5B,43.6571618,-79.37893709999999,Disney Store,43.654248,-79.381232,Toy / Game Store
207,M5B,43.6571618,-79.37893709999999,GB Hand-Pulled Noodles,43.65643422548463,-79.3837827356398,Chinese Restaurant
208,M5B,43.6571618,-79.37893709999999,EB Games,43.65529344166874,-79.38032812642462,Video Game Store
209,M5B,43.6571618,-79.37893709999999,Uncle Tetsu's Cheesecake (Uncle Tetsu's Japanese Cheesecake),43.65606287245643,-79.38369472446465,Dessert Shop
210,M5B,43.6571618,-79.37893709999999,Victoria's Secret,43.65320588119187,-79.38052200729167,Lingerie Store
211,M5B,43.6571618,-79.37893709999999,Reds Midtown Tavern,43.659128249470015,-79.38226565563255,Wine Bar
212,M5B,43.6571618,-79.37893709999999,Ryerson Square,43.656988428886045,-79.37689617296417,Other Great Outdoors
213,M5B,43.6571618,-79.37893709999999,Starbucks,43.659509,-79.382132,Coffee Shop
214,M5B,43.6571618,-79.37893709999999,Urban Outfitters,43.65441107845698,-79.38005491917738,Clothing Store
215,M5B,43.6571618,-79.37893709999999,Ali Basha Cafè,43.6566897,-79.3754589,Hookah Bar
216,M5B,43.6571618,-79.37893709999999,Fran's,43.65426474929814,-79.37912005538317,Diner
217,M5B,43.6571618,-79.37893709999999,GoodLife Fitness Toronto Bell Trinity Centre,43.653436,-79.382314,Gym
218,M5B,43.6571618,-79.37893709999999,Fine Asian Bowl,43.6553866,-79.3803264,Vietnamese Restaurant
219,M5B,43.6571618,-79.37893709999999,Bell Trinity Square,43.65347479872822,-79.38246987630343,Office
220,M5B,43.6571618,-79.37893709999999,Hard Candy Fitness,43.659556180497816,-79.38244024080487,Gym / Fitness Center
221,M5B,43.6571618,-79.37893709999999,Shisha&Co,43.6567479206269,-79.37433722726891,Smoke Shop
222,M5B,43.6571618,-79.37893709999999,Vans,43.654825509733335,-79.38024076741966,Shoe Store
223,M5B,43.6571618,-79.37893709999999,Abercrombie & Fitch,43.65291548392747,-79.38049525090148,Clothing Store
224,M5B,43.6571618,-79.37893709999999,Suite 114,43.655766,-79.38431,Speakeasy
225,M6B,43.709577,-79.44507259999997,Miyako Sushi Restaurant,43.709111,-79.44393,Japanese Restaurant
226,M6B,43.709577,-79.44507259999997,Li Cheng Restaurant,43.70882792296303,-79.44336647383521,Asian Restaurant
227,M6B,43.709577,-79.44507259999997,"Chalker's Pub, Billiards and Bistro",43.705746734874204,-79.44237750652644,Pub
228,M6B,43.709577,-79.44507259999997,Glencairn Subway Station,43.708872397351165,-79.44080107629773,Metro Station
229,M6B,43.709577,-79.44507259999997,Fraserwood Park,43.71354951931429,-79.4424819946289,Park
230,M9B,43.6509432,-79.55472440000001,Majestic Tees,43.649773527015924,-79.55543696885798,Print Shop
231,M9B,43.6509432,-79.55472440000001,Carolina's Cuisina,43.648863,-79.549504,Filipino Restaurant
232,M1C,43.7845351,-79.16049709999999,Chris Effects Painting,43.784343,-79.163742,Construction & Landscaping
233,M1C,43.7845351,-79.16049709999999,Royal Canadian Legion,43.78253332838298,-79.16308473261682,Bar
234,M1C,43.7845351,-79.16049709999999,Affordable Toronto Movers,43.787918740889744,-79.16297673924419,Moving Target
235,M3C,43.72589970000001,-79.340923,Sorento Restaurant,43.72657509457231,-79.34198930569546,Italian Restaurant
236,M3C,43.72589970000001,-79.340923,Oomomo,43.72642908913988,-79.34328336099873,Discount Store
237,M3C,43.72589970000001,-79.340923,Fitness Connection,43.72747286430573,-79.34170684305083,Gym
238,M3C,43.72589970000001,-79.340923,Tilley Endurables,43.72703319748601,-79.34292634000684,Clothing Store
239,M3C,43.72589970000001,-79.340923,Swiss Chalet Rotisserie & Grill,43.7267367878352,-79.34140272120312,Restaurant
240,M3C,43.72589970000001,-79.340923,Japanese Canadian Cultural Centre,43.726429,-79.334971,Concert Hall
